,EPS,DPS,NTA,Revenue,P/L,Quarter,Q Date,Financial Date,Announced,Net%,Report,ticker
55,0.61,0.0,0.18,"1,411k",489k,1,2006-03-31,2006-12-31,2006-05-30,8.2%,View,0065
56,0.52,0.0,0.18,"1,243k",415k,4,2005-12-31,2005-12-31,2006-02-28,45.1%,View,0065
57,0.6,1.5,0.14,"1,369k",476k,3,2005-09-30,2005-12-31,2005-11-24,833.3%,View,0065
58,0.66,0.0,0.15,"1,336k",528k,2,2005-06-30,2005-12-31,2005-08-18,0%,View,0065
59,0.57,0.0,0.15,"1,106k",452k,1,2005-03-31,2005-12-31,2005-05-31,0%,View,0065
60,1.15,0.0,0.1441,"2,020k",756k,4,2004-12-31,2004-12-31,2005-02-23,0%,View,0065
61,0.11,2.08,0.0688,511k,51k,3,2004-09-30,2004-12-31,2004-12-17,0%,View,0065
0,0.44,0.0,0.43,"28,619k","2,042k",4,2019-12-31,2019-12-31,2020-02-28,77.1%,View,5187
1,0.07,0.0,0.42,"20,597k",320k,3,2019-09-30,2019-12-31,2019-11-28,3.6%,View,5187
2,0.19,0.0,0.43,"22,092k",911k,2,2019-06-30,2019-12-31,2019-08-29,28%,View,5187
3,1.17,0.0,0.43,"22,507k","5,493k",1,2019-03-31,2019-12-31,2019-05-31,827.9%,View,5187
4,1.91,0.0,0.42,"28,182k","8,921k",4,2018-12-31,2018-12-31,2019-02-28,26.5%,View,5187
5,0.07,0.0,0.4,"24,959k",309k,3,2018-09-30,2018-12-31,2018-12-06,40%,View,5187
6,0.27,0.0,0.4,"23,715k","1,265k",2,2018-06-30,2018-12-31,2018-08-30,36.8%,View,5187
7,0.13,0.0,0.4,"22,582k",592k,1,2018-03-31,2018-12-31,2018-05-31,194.7%,View,5187
8,2.59,0.0,0.41,"44,015k","12,131k",4,2017-12-31,2017-12-31,2018-02-28,532.6%,View,5187
9,0.11,0.0,0.39,"25,309k",515k,3,2017-09-30,2017-12-31,2017-11-30,29.8%,View,5187
10,0.43,0.0,0.39,"17,857k","2,001k",2,2017-06-30,2017-12-31,2017-08-30,139.1%,View,5187
11,-0.13,0.0,0.39,"18,532k",-625k,1,2017-03-31,2017-12-31,2017-05-30,94.4%,View,5187
12,-0.6,0.0,0.38,"30,113k","-2,804k",4,2016-12-31,2016-12-31,2017-02-28,98.6%,View,5187
13,0.16,0.0,0.37,"26,048k",734k,3,2016-09-30,2016-12-31,2016-11-30,102.8%,View,5187
14,-1.09,0.0,0.37,"19,575k","-5,119k",2,2016-06-30,2016-12-31,2016-08-30,55.5%,View,5187
15,-2.38,0.0,0.38,"14,582k","-11,133k",1,2016-03-31,2016-12-31,2016-05-25,4.5%,View,5187
16,-41.54,0.0,0.44,"63,754k","-194,406k",4,2015-12-31,2015-12-31,2016-02-29,2667.3%,View,5187
17,-5.53,0.0,0.9,"61,151k","-25,886k",3,2015-09-30,2015-12-31,2015-11-23,250.8%,View,5187
18,-2.51,0.0,0.84,"30,953k","-11,500k",2,2015-06-30,2015-12-31,2015-08-28,44.3%,View,5187
19,-2.49,0.0,0.85,"22,029k","-11,662k",1,2015-03-31,2015-12-31,2015-05-29,977.8%,View,5187
20,-1.5,0.0,0.83,"25,298k","-7,025k",4,2014-12-31,2014-12-31,2015-02-27,13.7%,View,5187
21,-1.58,0.0,0.9,"42,065k","-7,379k",3,2014-09-30,2014-12-31,2014-11-28,59.7%,View,5187
22,-0.02,0.0,0.79,"43,628k","-8,145k",2,2014-06-30,2014-12-31,2014-08-29,34.1%,View,5187
23,-0.23,0.0,0.87,"34,242k","-1,082k",1,2014-03-31,2014-12-31,2014-05-30,109.2%,View,5187
24,-1.56,0.0,0.9,"55,956k","-7,308k",4,2013-12-31,2013-12-31,2014-03-06,216.6%,View,5187
25,-3.91,0.0,0.87,"26,408k","-18,305k",3,2013-09-30,2013-12-31,2013-11-29,60.1%,View,5187
26,-2.64,0.0,0.91,"30,234k","-12,360k",2,2013-06-30,2013-12-31,2013-08-30,285.1%,View,5187
27,2.5,0.0,0.91,"79,793k","11,705k",1,2013-03-31,2013-12-31,2013-05-31,52%,View,5187
28,1.34,0.0,0.9,"74,569k","6,265k",4,2012-12-31,2012-12-31,2013-02-28,67.2%,View,5187
29,-2.44,0.0,0.92,"57,906k","-11,434k",3,2012-09-30,2012-12-31,2012-11-30,139.3%,View,5187
30,1.43,3.8,0.98,"56,695k","6,677k",2,2012-06-30,2012-12-31,2012-08-30,78.4%,View,5187
31,5.23,0.0,0.92,"103,963k","24,496k",1,2012-03-31,2012-12-31,2012-05-31,4.5%,View,5187
32,4.79,0.0,0.91,"106,188k","22,447k",4,2011-12-31,2011-12-31,2012-02-28,13.7%,View,5187
33,6.22,0.0,0.85,"110,524k","29,125k",3,2011-09-30,2011-12-31,2011-11-30,3.1%,View,5187
34,6.61,0.0,0.76,"102,719k","30,924k",2,2011-06-30,2011-12-31,2011-08-26,18.6%,View,5187
35,5.48,0.0,0.68,"86,080k","25,654k",1,2011-03-31,2011-12-31,2011-05-31,49.8%,View,5187
36,5.72,0.0,0.64,"93,918k","24,170k",4,2010-12-31,2010-12-31,2011-02-28,52.6%,View,5187
37,8.01,0.0,0.51,"102,795k","26,175k",3,2010-09-30,2010-12-31,2010-12-14,19.1%,View,5187
0,0.79,1.65,0.5038,"84,252k","15,905k",1,2020-03-31,2020-12-31,2020-05-13,36.5%,View,8524
1,-0.92,1.65,51.25,"105,538k","-18,546k",4,2019-12-31,2019-12-31,2020-02-27,133.5%,View,8524
2,3.6,1.2,53.37,"93,623k","72,635k",3,2019-09-30,2019-12-31,2019-11-27,269.1%,View,8524
3,0.53,1.2,50.97,"89,077k","10,712k",2,2019-06-30,2019-12-31,2019-08-27,38.5%,View,8524
4,0.58,1.2,0.5164,"88,874k","11,650k",1,2019-03-31,2019-12-31,2019-05-28,53.4%,View,8524
5,2.7,1.2,0.5238,"97,930k","54,513k",4,2018-12-31,2018-12-31,2019-02-28,92.5%,View,8524
6,0.98,1.2,0.5088,"98,361k","19,678k",3,2018-09-30,2018-12-31,2018-11-26,96.6%,View,8524
7,1.44,2.0,0.8517,"97,046k","17,426k",2,2018-06-30,2018-12-31,2018-08-27,185.8%,View,8524
8,0.63,2.0,0.8573,"81,723k","7,597k",1,2018-03-31,2018-12-31,2018-05-22,10.5%,View,8524
9,0.53,2.0,0.8711,"131,696k","6,455k",4,2017-12-31,2017-12-31,2018-02-28,79.8%,View,8524
10,0.82,2.0,0.8858,"74,311k","9,950k",3,2017-09-30,2017-12-31,2017-11-28,49%,View,8524
11,0.5,2.0,0.8975,"91,280k","5,995k",2,2017-06-30,2017-12-31,2017-08-16,92.1%,View,8524
12,0.55,2.0,0.9125,"71,353k","6,683k",1,2017-03-31,2017-12-31,2017-05-22,3070.2%,View,8524
13,2.65,2.0,0.9269,"69,012k","32,013k",4,2016-12-31,2016-12-31,2017-02-16,37.5%,View,8524
14,1.61,2.0,0.9205,"83,796k","19,513k",3,2016-09-30,2016-12-31,2016-11-16,80.6%,View,8524
15,6.3,2.0,0.9243,"76,833k","76,188k",2,2016-06-30,2016-12-31,2016-08-09,702.5%,View,8524
16,-0.02,2.0,0.9341,"75,215k",-225k,1,2016-03-31,2016-12-31,2016-05-24,101.5%,View,8524
17,4.34,2.0,0.948,"100,191k","51,250k",4,2015-12-31,2015-12-31,2016-02-25,1057.4%,View,8524
18,0.98,2.0,0.9038,"112,024k","10,804k",3,2015-09-30,2015-12-31,2015-11-26,96.1%,View,8524
19,2.17,0.0,2.2201,"101,700k","9,494k",2,2015-06-30,2015-12-31,2015-08-19,25.2%,View,8524
20,3.44,0.0,2.0772,"97,017k","15,028k",1,2015-03-31,2015-12-31,2015-05-27,300.4%,View,8524
21,0.96,0.0,1.9508,"114,223k","4,209k",4,2014-12-31,2014-12-31,2015-02-12,45.9%,View,8524
22,64.23,0.0,1.9201,"82,289k","280,377k",3,2014-09-30,2014-12-31,2014-11-28,5510.9%,View,8524
23,2.91,0.0,1.3992,"81,800k","12,691k",2,2014-06-30,2014-12-31,2014-08-05,32.2%,View,8524
24,0.86,0.0,1.3852,"75,603k","3,753k",1,2014-03-31,2014-12-31,2014-05-16,33.4%,View,8524
25,1.87,1.0,1.3883,"79,232k","8,179k",4,2013-12-31,2013-12-31,2014-02-25,21.6%,View,8524
26,1.14,0.0,1.3647,"58,913k","4,997k",3,2013-09-30,2013-12-31,2013-11-20,53.9%,View,8524
27,2.2,0.0,1.352,"78,700k","9,600k",2,2013-06-30,2013-12-31,2013-08-28,54.5%,View,8524
28,1.29,0.0,1.3176,"64,637k","5,637k",1,2013-03-31,2013-12-31,2013-05-29,771.3%,View,8524
29,2.26,1.5,1.2964,"61,386k","9,873k",4,2012-12-31,2012-12-31,2013-02-27,699.8%,View,8524
30,2.48,0.0,1.2187,"91,006k","10,836k",3,2012-09-30,2012-12-31,2012-11-23,22.5%,View,8524
31,4.83,0.0,1.2094,"76,450k","21,080k",2,2012-06-30,2012-12-31,2012-08-28,22.5%,View,8524
32,0.15,0.0,1.1497,"47,638k",647k,1,2012-03-31,2012-12-31,2012-05-22,92.4%,View,8524
33,-0.27,0.5,1.1597,"33,288k","-1,161k",4,2011-12-31,2011-12-31,2012-02-27,91.7%,View,8524
34,2.03,0.0,1.1594,"40,343k","8,843k",3,2011-09-30,2011-12-31,2011-11-23,58.2%,View,8524
35,3.94,0.0,1.145,"52,944k","17,215k",2,2011-06-30,2011-12-31,2011-08-23,699.2%,View,8524
36,1.9,0.0,1.1064,"40,610k","8,496k",1,2011-03-31,2011-12-31,2011-05-23,57.2%,View,8524
37,-3.07,1.5,1.0909,"44,144k","-13,620k",4,2010-12-31,2010-12-31,2011-02-25,213.9%,View,8524
38,5.39,0.0,1.1236,"42,554k","20,712k",3,2010-09-30,2010-12-31,2010-11-25,104.5%,View,8524
39,0.46,0.0,1.0453,"42,044k","1,681k",2,2010-06-30,2010-12-31,2010-08-23,79.1%,View,8524
40,5.15,0.0,1.0398,"44,369k","19,405k",1,2010-03-31,2010-12-31,2010-05-19,130.4%,View,8524
41,3.27,4.0,0.9977,"44,731k","12,312k",4,2009-12-31,2009-12-31,2010-02-24,8.1%,View,8524
42,2.69,0.0,0.9653,"39,165k","10,127k",3,2009-09-30,2009-12-31,2009-11-30,14.7%,View,8524
43,2.14,2.0,0.9537,"38,269k","8,058k",2,2009-06-30,2009-12-31,2009-08-18,6%,View,8524
44,2.24,0.0,0.9425,"36,752k","8,422k",1,2009-03-31,2009-12-31,2009-05-29,29.3%,View,8524
45,3.56,3.25,0.9337,"22,200k","13,400k",4,2008-12-31,2008-12-31,2009-02-24,114.3%,View,8524
46,3.15,0.0,0.898,"69,290k","11,873k",3,2008-09-30,2008-12-31,2008-11-25,36.4%,View,8524
47,2.28,3.0,0.8867,"69,565k","8,568k",2,2008-06-30,2008-12-31,2008-08-29,7.9%,View,8524
48,3.17,0.0,0.8803,"65,351k","11,916k",1,2008-03-31,2008-12-31,2008-05-28,25.7%,View,8524
49,1.67,6.5,0.8768,"51,106k","6,266k",4,2007-12-31,2007-12-31,2008-02-28,16.1%,View,8524
50,2.33,0.0,0.8565,"59,813k","8,703k",3,2007-09-30,2007-12-31,2007-11-20,4.6%,View,8524
51,2.49,3.0,0.8467,"40,727k","9,300k",2,2007-06-30,2007-12-31,2007-08-29,2.8%,View,8524
52,2.54,0.0,0.8488,"39,323k","9,479k",1,2007-03-31,2007-12-31,2007-05-30,12.4%,View,8524
53,0.6,6.0,0.8398,"35,413k","2,224k",4,2006-12-31,2006-12-31,2007-02-28,84.6%,View,8524
54,2.24,0.0,0.83,"34,500k","8,318k",3,2006-09-30,2006-12-31,2006-11-27,10.4%,View,8524
55,3.73,4.0,0.8364,"34,554k","13,547k",2,2006-06-30,2006-12-31,2006-08-29,34%,View,8524
56,3.07,0.0,0.7956,"38,435k","10,819k",1,2006-03-31,2006-12-31,2006-05-31,5.3%,View,8524
57,4.03,5.0,0.7791,"41,979k","14,203k",4,2005-12-31,2005-12-31,2006-02-24,490.3%,View,8524
58,2.64,0.0,0.63,"47,058k","9,287k",3,2005-09-30,2005-12-31,2005-11-21,4.5%,View,8524
59,5.7,6.0,1.24,"58,990k","10,106k",2,2005-06-30,2005-12-31,2005-09-02,18.4%,View,8524
60,5.8,0.0,1.22,"48,108k","10,272k",1,2005-03-31,2005-12-31,2005-05-26,10.4%,View,8524
61,-2.3,6.0,1.16,"40,678k","-4,017k",4,2004-12-31,2004-12-31,2005-02-24,146.3%,View,8524
62,5.5,0.0,1.29,"46,801k","9,726k",3,2004-09-30,2004-12-31,2004-11-25,14.2%,View,8524
63,7.0,0.0,1.26,"40,550k","12,390k",2,2004-06-30,2004-12-31,2004-08-27,31.4%,View,8524
64,5.3,4.5,1.19,"43,503k","9,304k",1,2004-03-31,2004-12-31,2004-05-27,6.8%,View,8524
65,5.0,0.0,1.14,"30,060k","8,882k",4,2003-12-31,2003-12-31,2004-02-26,8.6%,View,8524
66,7.3,0.0,1.63,"40,209k","8,513k",3,2003-09-30,2003-12-31,2003-11-19,32%,View,8524
67,8.0,0.0,1.58,"34,640k","9,426k",2,2003-06-30,2003-12-31,2003-08-27,4.5%,View,8524
68,8.5,3.8,1.5,"29,849k","9,983k",1,2003-03-31,2003-12-31,2003-05-22,16.7%,View,8524
69,7.2,3.8,1.42,"28,881k","8,508k",4,2002-12-31,2002-12-31,2003-02-18,7.5%,View,8524
70,10.7,3.8,1.37,"31,591k","12,514k",3,2002-09-30,2002-12-31,2002-11-26,86.8%,View,8524
0,5.07,0.0,1.1605,"611,465k","64,803k",1,2020-03-31,2020-12-31,2020-05-21,10.4%,View,7153
1,4.77,0.0,1.11,"578,349k","61,003k",4,2019-12-31,2019-12-31,2020-02-21,2.5%,View,7153
2,3.84,0.0,1.09,"531,257k","49,175k",3,2019-09-30,2019-12-31,2019-11-21,9.2%,View,7153
3,4.37,0.0,1.06,"550,533k","55,883k",2,2019-06-30,2019-12-31,2019-08-22,28.6%,View,7153
4,4.59,0.0,1.03,"561,468k","58,723k",1,2019-03-31,2019-12-31,2019-05-24,31.9%,View,7153
5,4.65,0.0,1.01,"589,372k","59,514k",4,2018-12-31,2018-12-31,2019-02-19,29.6%,View,7153
6,4.23,0.0,0.97,"573,897k","54,146k",3,2018-09-30,2018-12-31,2018-11-16,18.5%,View,7153
7,6.79,0.0,191.0,"496,787k","44,703k",2,2018-06-30,2018-12-31,2018-08-17,2.5%,View,7153
8,6.96,0.0,184.0,"484,178k","45,289k",1,2018-03-31,2018-12-31,2018-05-24,4.2%,View,7153
9,7.18,0.0,180.0,"477,773k","46,464k",4,2017-12-31,2017-12-31,2018-02-22,2.4%,View,7153
10,7.14,0.0,1.78,"489,180k","45,680k",3,2017-09-30,2017-12-31,2017-11-23,34.3%,View,7153
11,7.12,0.0,1.77,"490,514k","45,510k",2,2017-06-30,2017-12-31,2017-08-24,11.1%,View,7153
12,7.28,0.0,1.7,"499,978k","46,535k",1,2017-03-31,2017-12-31,2017-05-25,9.3%,View,7153
13,6.98,0.0,1.68,"438,187k","44,633k",4,2016-12-31,2016-12-31,2017-02-23,19.2%,View,7153
14,5.32,5.0,1.61,"414,039k","34,023k",3,2016-09-30,2016-12-31,2016-11-22,38.3%,View,7153
15,6.41,0.0,1.56,"403,773k","40,968k",2,2016-06-30,2016-12-31,2016-08-23,13.6%,View,7153
16,8.02,0.0,1.56,"412,280k","51,306k",1,2016-03-31,2016-12-31,2016-05-24,12.9%,View,7153
17,8.63,0.0,1.53,"439,163k","55,206k",4,2015-12-31,2015-12-31,2016-02-23,45.5%,View,7153
18,8.63,0.0,1.44,"441,743k","55,166k",3,2015-09-30,2015-12-31,2015-11-20,60.4%,View,7153
19,7.42,0.0,1.4,"385,779k","47,440k",2,2015-06-30,2015-12-31,2015-08-20,37.1%,View,7153
20,7.11,0.0,1.33,"369,256k","45,450k",1,2015-03-31,2015-12-31,2015-05-21,23.4%,View,7153
21,5.93,0.0,1.25,"360,958k","37,934k",4,2014-12-31,2014-12-31,2015-02-25,1.6%,View,7153
22,5.38,3.5,1.23,"328,352k","34,403k",3,2014-09-30,2014-12-31,2014-11-20,2.8%,View,7153
23,5.41,0.0,1.21,"303,826k","34,593k",2,2014-06-30,2014-12-31,2014-08-20,3.4%,View,7153
24,5.76,0.0,115.0,"306,177k","36,833k",1,2014-03-31,2014-12-31,2014-05-23,10.9%,View,7153
25,6.03,0.0,110.0,"327,383k","38,556k",4,2013-12-31,2013-12-31,2014-02-26,30%,View,7153
26,11.07,0.0,212.0,"333,547k","35,405k",3,2013-09-30,2013-12-31,2013-11-22,21.2%,View,7153
27,10.47,0.0,2.08,"321,573k","33,462k",2,2013-06-30,2013-12-31,2013-08-26,41.7%,View,7153
28,10.39,0.0,198.0,"327,267k","33,224k",1,2013-03-31,2013-12-31,2013-05-27,51.3%,View,7153
29,9.28,0.0,1.91,"318,575k","29,656k",4,2012-12-31,2012-12-31,2013-02-25,24.4%,View,7153
30,9.14,0.05,1.73,"322,730k","29,221k",3,2012-09-30,2012-12-31,2012-11-22,23.6%,View,7153
31,7.39,0.0,1.68,"304,753k","23,621k",2,2012-06-30,2012-12-31,2012-08-23,12.8%,View,7153
32,6.87,0.0,161.0,"289,434k","21,954k",1,2012-03-31,2012-12-31,2012-05-24,4.4%,View,7153
33,7.46,0.0,1.5,"281,530k","24,288k",4,2011-12-31,2011-12-31,2012-02-24,17.5%,View,7153
34,7.39,0.03,1.5,"278,531k","23,643k",3,2011-09-30,2011-12-31,2011-11-17,17.2%,View,7153
35,6.55,0.0,1.5,"275,610k","20,938k",2,2011-06-30,2011-12-31,2011-08-24,30.2%,View,7153
36,7.18,0.0,145.0,"256,446k","22,955k",1,2011-03-31,2011-12-31,2011-05-19,24.4%,View,7153
37,9.18,0.0,1.4,"252,973k","29,450k",4,2010-12-31,2010-12-31,2011-02-23,21.5%,View,7153
38,8.93,0.0,1.31,"275,635k","28,551k",3,2010-09-30,2010-12-31,2010-11-18,85.8%,View,7153
39,18.77,0.0,2.52,"256,495k","30,004k",2,2010-06-30,2010-12-31,2010-08-26,123.5%,View,7153
40,19.0,0.0,2.33,"262,769k","30,379k",1,2010-03-31,2010-12-31,2010-05-20,116.5%,View,7153
41,15.0,0.0,2.23,"227,749k","24,247k",4,2009-12-31,2009-12-31,2010-02-25,52.7%,View,7153
42,9.61,5.13,2.08,"210,088k","15,286k",3,2009-09-30,2009-12-31,2009-11-24,0.2%,View,7153
43,8.4,0.0,2.04,"196,762k","13,612k",2,2009-06-30,2009-12-31,2009-08-20,3%,View,7153
44,8.78,0.0,1.95,"202,372k","14,146k",1,2009-03-31,2009-12-31,2009-05-21,0.9%,View,7153
45,9.94,0.0,1.87,"238,646k","15,884k",4,2008-12-31,2008-12-31,2009-02-20,35.6%,View,7153
46,9.58,0.0,1.77,"237,236k","15,318k",3,2008-09-30,2008-12-31,2008-11-20,22.5%,View,7153
47,8.77,0.0,1.74,"217,282k","14,026k",2,2008-06-30,2008-12-31,2008-08-22,23.1%,View,7153
48,8.77,0.0,1.65,"199,942k","14,203k",1,2008-03-31,2008-12-31,2008-05-28,22%,View,7153
49,15.42,0.0,1.58,"186,340k","24,658k",4,2007-12-31,2007-12-31,2008-02-25,55.7%,View,7153
50,7.82,5.82,1.35,"188,311k","12,508k",3,2007-09-30,2007-12-31,2007-11-26,14.8%,View,7153
51,7.12,0.0,1.33,"160,783k","11,390k",2,2007-06-30,2007-12-31,2007-08-17,18.6%,View,7153
52,7.28,0.0,1.26,"162,485k","11,639k",1,2007-03-31,2007-12-31,2007-05-18,57.9%,View,7153
53,7.33,0.0,1.19,"170,176k","11,713k",4,2006-12-31,2006-12-31,2007-02-14,61.4%,View,7153
54,6.81,6.0,1.12,"162,643k","10,892k",3,2006-09-30,2006-12-31,2006-11-16,42.8%,View,7153
55,6.01,0.0,1.1,"133,269k","9,603k",2,2006-06-30,2006-12-31,2006-08-17,33.6%,View,7153
56,4.61,0.0,1.05,"107,233k","7,369k",1,2006-03-31,2006-03-31,2006-05-18,5.4%,View,7153
57,4.48,0.0,1.01,"107,287k","7,165k",4,2005-12-31,2005-12-31,2006-02-24,28.1%,View,7153
58,4.81,10.0,0.95,"106,812k","7,689k",3,2005-09-30,2005-12-31,2005-11-17,31.2%,View,7153
59,10.83,0.0,2.24,"88,460k","7,211k",2,2005-06-30,2005-12-31,2005-08-19,21.2%,View,7153
60,10.52,0.0,2.14,"85,407k","7,005k",1,2005-03-31,2005-12-31,2005-05-19,34.5%,View,7153
61,8.4,0.0,2.05,"71,720k","5,595k",4,2004-12-31,2004-12-31,2005-02-24,4.2%,View,7153
62,8.8,5.0,1.99,"77,269k","5,861k",3,2004-09-30,2004-12-31,2004-11-09,21%,View,7153
63,8.93,5.0,1.93,"71,282k","5,950k",2,2004-06-30,2004-12-31,2004-08-20,45.9%,View,7153
64,7.82,0.0,1.88,"58,883k","5,207k",1,2004-03-31,2004-12-31,2004-05-12,106.7%,View,7153
65,8.52,0.0,1.8,"47,933k","5,371k",4,2003-12-31,2003-12-31,2004-02-25,25.8%,View,7153
66,7.57,3.0,1.66,"49,796k","4,845k",3,2003-09-30,2003-12-31,2003-11-13,27.7%,View,7153
67,6.57,0.0,1.55,"46,281k","4,077k",2,2003-06-30,2003-12-31,2003-08-14,9.7%,View,7153
68,4.87,0.0,1.8,"36,851k","2,519k",1,2003-03-31,2003-12-31,2003-05-29,2.7%,View,7153
69,8.25,0.0,1.76,"38,336k","4,271k",4,2002-12-31,2002-12-31,2003-02-27,49.4%,View,7153
70,7.33,0.0,1.69,"40,823k","3,793k",3,2002-09-30,2002-12-31,2002-11-21,177.5%,View,7153
0,4.98,0.0,0.66,"51,782k","4,276k",1,2020-03-31,2020-12-31,2020-06-17,168.9%,View,9237
1,0.92,0.0,0.6,"28,627k",789k,4,2019-12-31,2019-12-31,2020-02-27,120.1%,View,9237
2,0.88,0.0,0.59,"21,863k",752k,3,2019-09-30,2019-12-31,2019-11-27,7.9%,View,9237
3,-0.13,0.0,0.59,"17,864k",-111k,2,2019-06-30,2019-12-31,2019-08-28,98.4%,View,9237
4,1.85,0.0,0.59,"17,436k","1,590k",1,2019-03-31,2019-12-31,2019-05-30,646.5%,View,9237
5,-4.31,0.0,0.57,"18,355k","-3,700k",4,2018-12-31,2018-12-31,2019-02-27,796.8%,View,9237
6,0.81,0.0,0.62,"19,923k",697k,3,2018-09-30,2018-12-31,2018-11-28,280.6%,View,9237
7,-7.89,0.0,0.61,"16,102k","-6,778k",2,2018-06-30,2018-12-31,2018-08-30,3125.9%,View,9237
8,0.25,0.0,0.69,"21,421k",213k,1,2018-03-31,2018-12-31,2018-05-31,125.3%,View,9237
9,0.87,0.0,0.69,"21,285k",745k,4,2017-12-31,2017-12-31,2018-02-28,80.5%,View,9237
10,-0.48,0.0,0.68,"17,912k",-386k,3,2017-09-30,2017-12-31,2017-11-29,34.9%,View,9237
11,0.3,0.0,0.7,"14,708k",224k,2,2017-06-30,2017-12-31,2017-08-29,121.2%,View,9237
12,-1.14,0.0,0.69,"14,879k",-841k,1,2017-03-31,2017-12-31,2017-05-31,44.8%,View,9237
13,5.2,0.0,0.71,"15,484k","3,826k",4,2016-12-31,2016-12-31,2017-02-28,379.5%,View,9237
14,-0.81,0.0,0.65,"15,853k",-593k,3,2016-09-30,2016-12-31,2016-11-28,9.8%,View,9237
15,-1.44,0.0,0.66,"13,827k","-1,059k",2,2016-06-30,2016-12-31,2016-08-30,225.5%,View,9237
16,-0.79,0.0,0.68,"11,863k",-581k,1,2016-03-31,2016-12-31,2016-05-30,144.5%,View,9237
17,-1.86,0.0,0.68,"14,891k","-1,369k",4,2015-12-31,2015-12-31,2016-02-26,68%,View,9237
18,-0.73,0.0,0.7,"15,181k",-540k,3,2015-09-30,2015-12-31,2015-11-30,161.3%,View,9237
19,1.15,0.0,0.71,"18,067k",844k,2,2015-06-30,2015-12-31,2015-08-26,133.1%,View,9237
20,1.77,0.0,0.7,"17,733k","1,305k",1,2015-03-31,2015-12-31,2015-05-27,1350%,View,9237
21,-5.8,0.0,0.68,"17,217k","-4,267k",4,2014-12-31,2014-12-31,2015-02-27,48%,View,9237
22,1.2,0.0,0.74,"18,559k",881k,3,2014-09-30,2014-12-31,2014-11-25,378.8%,View,9237
23,0.49,0.0,0.73,"16,003k",362k,2,2014-06-30,2014-12-31,2014-08-25,68.4%,View,9237
24,0.12,0.0,0.72,"12,890k",90k,1,2014-03-31,2014-12-31,2014-05-26,45.5%,View,9237
25,-3.92,0.0,0.72,"12,392k","-2,884k",4,2013-12-31,2013-12-31,2014-02-28,229.3%,View,9237
26,-0.43,0.0,0.76,"14,440k",-316k,3,2013-09-30,2013-12-31,2013-11-29,75.6%,View,9237
27,0.29,0.0,0.76,"15,641k",215k,2,2013-06-30,2013-12-31,2013-08-06,125.3%,View,9237
28,0.22,0.0,0.76,"14,892k",165k,1,2013-03-31,2013-12-31,2013-05-31,98.8%,View,9237
29,2.95,0.0,0.76,"20,622k","2,171k",4,2012-12-31,2012-12-31,2013-02-27,385.3%,View,9237
30,-0.24,0.0,0.73,"13,356k",-180k,3,2012-09-30,2012-12-31,2012-11-30,100%,View,9237
31,-1.15,0.0,0.73,"16,986k",-849k,2,2012-06-30,2012-12-31,2012-08-09,200%,View,9237
32,0.11,0.0,0.74,"13,760k",83k,1,2012-03-31,2012-12-31,2012-05-30,93.3%,View,9237
33,-1.03,0.0,0.74,"11,393k",-761k,4,2011-12-31,2011-12-31,2012-02-27,153.6%,View,9237
34,-0.12,0.0,0.75,"11,410k",-90k,3,2011-09-30,2011-12-31,2011-11-16,42.3%,View,9237
35,-0.38,0.0,0.75,"10,572k",-283k,2,2011-06-30,2011-12-31,2011-08-08,42%,View,9237
36,1.69,0.0,0.76,"11,548k","1,247k",1,2011-03-31,2011-12-31,2011-05-25,2444.9%,View,9237
37,1.93,0.0,0.74,"12,931k","1,420k",4,2010-12-31,2010-12-31,2011-02-25,277.5%,View,9237
38,-0.21,0.0,0.72,"10,245k",-156k,3,2010-09-30,2010-12-31,2010-11-08,53.2%,View,9237
39,-0.66,0.0,0.72,"10,421k",-488k,2,2010-06-30,2010-12-31,2010-08-02,38.8%,View,9237
40,0.07,0.0,0.73,"10,374k",49k,1,2010-03-31,2010-12-31,2010-05-27,103%,View,9237
41,-1.09,0.0,0.73,"32,123k",-800k,4,2009-12-31,2009-12-31,2010-02-24,85.1%,View,9237
42,-0.45,0.0,0.74,"12,437k",-333k,3,2009-09-30,2009-12-31,2009-11-26,63.4%,View,9237
43,-1.08,0.0,0.74,"11,311k",-798k,2,2009-06-30,2009-12-31,2009-08-28,13.7%,View,9237
44,-2.19,0.0,0.75,"11,799k","-1,610k",1,2009-03-31,2009-12-31,2009-05-29,6.8%,View,9237
45,-7.32,0.0,0.78,"9,504k","-5,384k",4,2008-12-31,2008-12-31,2009-02-26,50%,View,9237
46,-1.24,0.0,0.85,"9,691k",-909k,3,2008-09-30,2008-12-31,2008-11-27,42%,View,9237
47,0.96,0.0,0.86,"10,073k",-703k,2,2008-06-30,2008-12-31,2008-08-29,58.9%,View,9237
48,-2.05,0.0,0.87,"7,038k","-1,507k",1,2008-03-31,2008-12-31,2008-05-29,12.8%,View,9237
49,-14.62,0.0,0.89,"6,842k","-10,760k",4,2007-12-31,2007-12-31,2008-02-27,784.1%,View,9237
50,-2.13,0.0,1.04,"8,456k","-1,568k",3,2007-09-30,2007-12-31,2007-11-28,107.7%,View,9237
51,-2.33,0.0,1.06,"8,249k","-1,712k",2,2007-06-30,2007-12-31,2007-08-29,265.8%,View,9237
52,-2.35,0.0,1.08,"5,843k","-1,728k",1,2007-03-31,2007-12-31,2007-05-28,330.9%,View,9237
